prompt;completion
How to help a person with a mental health crisis;Helping a person through a mental health crisis can be achieved by using active listening practices:  Reduce distractions and encourage the person to sit down to promote conversation.  Keep the person as calm as possible.  Listen empathetically.  Acknowledge the person’s feelings and emotions without judgment.  If the person is delusional, do not dismiss his or her beliefs: accept that they are real to the person (but not to you).  Speak quietly and firmly. 1. Use active listening practices to provide reassurance, comfort, and support. 2. Offer self-help strategies such as breathing exercises.
Self-Inflicted Injuries;Self-harm ranges from minor self-inflicted injuries to suicide. Suicide is one of the ten most common causes of death in Canada, affecting people from a variety of backgrounds and age groups. Anyone expressing intentions of self-harm requires immediate intervention, and therefore EMS/9-1-1 must always be called. Possible indicators of self-harm include the following:  A person expressing negative (especially suicidal) thoughts and comments about him-or herself  A person expressing his or her intent to die, especially if he or she has a plan to do so  A person expressing his or her final wishes to someone close by (e.g., a bystander at scene)  Items associated with a suicide attempt found at the scene (e.g., a gun, sleeping pills)
Childbirth;You may find yourself in the position of helping a pregnant woman who is in labour. Childbirth is a natural process and the woman’s body knows what to do: Your primary role will be to provide comfort and reassurance and to facilitate the process while you wait for EMS personnel to arrive. The labour and delivery process will happen without much intervention on your part. Remember, the woman who is pregnant delivers the baby. Be patient and let the birth happen naturally. 
Signs and symptoms that signal imminent childbirth i;Signs and symptoms that signal imminent childbirth include the following:  Contractions that are 2 minutes apart or less  The woman says that the baby is coming  The woman feels the urge to push  The woman feels like she needs to have a bowel movement  The baby is crowning
Instruction for Childbirth;1. Clear the area of unnecessary bystanders. 2. Help the woman into a position of comfort. 3. Create a clean birthing area by placing clean blankets and/or towels under the woman. For the sake of privacy, place a clean sheet or towel over the woman’s abdomen. 4. As the baby is being birthed:  Support the head as it is delivered. Do not push or pull the baby.  Once the shoulders emerge, the rest of the baby will be delivered very quickly.  Newborns are slippery, so hold the baby firmly but do not squeeze him or her. 5. Position the baby face down and wipe any fluids or mucus away from his or her mouth and nose. 6. Check the baby’s airway and breathing. Babies may not breathe and cry immediately after they are born. Usually, actively drying them with a towel will stimulate them to breathe and cry. If the baby does not begin to breathe or cry following stimulation, begin CPR. 7. Keep the baby warm by placing him or her directly onto the mother’s chest and covering with a blanket or towel, or by wrapping the baby in a clean towel or blanket. 8. Let the placenta and cord drop onto a clean towel and keep this near the baby. Do not cut the cord. Handle the placenta and cord as little as possible. 9. Record the time of birth. 10.If the mother is bleeding, you may need to apply gentle pressure to any bleeding tears. 11. Provide continual care for both the mother and the baby until EMS personnel arrive.
Assisting with Childbirth: What Not to Do;When providing care for a woman during childbirth:  Do not let the woman leave to use the restroom. (The woman could deliver the baby into the toilet, putting the baby at risk for injury.)  Do not try to physically delay delivery, as this can cause serious injuries to both the mother and the baby.  Do not place your fingers in the woman’s vagina for any reason. This can introduce pathogens that can cause an infection.  Do not pull on the baby
Miscarriage;Miscarriage is the spontaneous end of a pregnancy any time during the first 20 weeks after conception. This occurs in about 1 in 10 pregnancies. The risk of miscarriage drops as the pregnancy progresses. There are a number of causes of miscarriage, including the following:  Hormonal or genetic complications  Abnormalities in the womb  Infection and certain illnesses  Trauma. The signs and symptoms of a miscarriage include the following:  Anxiety and apprehensiveness  Vaginal bleeding, which may be minor or profuse  Cramp-like pain that is similar to labour or menstruation. 
Care for Miscarriage;1. If possible, save any tissue from the miscarriage for EMS personnel. 2. Provide comfort and continual care until EMS personnel arrive.
How Body Temperature Is Controlled;The human body’s core temperature (i.e., the temperature of the heart, lungs, and brain) is normally around 37°C (98.6°F) and is maintained by balancing heat loss with heat gain. The body generates heat by either converting food into energy or by contracting muscles (e.g., shivering, exercising). The heat produced by routine activities such as walking is usually enough to balance normal heat loss.
The Hypothalamus and Body Temperature;"The hypothalamus is the part of the brain that controls thermoregulation, which is the body’s ability to maintain a temperature that is within the ideal range. The hypothalamus gets temperature information from the skin and central receptors. If the body is too warm, thermoregulatory ""heat loss"" responses include increasing the skin’s blood flow and/or sweating to facilitate evaporation. If the body is too cold, responses include decreasing the skin’s blood flow and shivering, which produces heat by contracting and relaxing muscles."
The Four Mechanisms of Heating and Cooling the Body;Heat moves from warmer areas to cooler ones through four mechanisms: 1. Radiation: (Warming or cooling) Involves the direct loss or absorption of heat energy through electromagnetic waves. 2. Conduction: (Warming or cooling) Occurs through direct contact with a solid or liquid. Heat loss due to direct contact with cold snow could be decreased by minimizing contact or increasing insulation (e.g., sitting on an insulated pad on the snow). 3. Convection: (Warming or cooling) Occurs when air or liquid moves across the skin. In cold air, this is known as the wind chill factor. Convective heating can also occur if warm air is blown across the skin. 4. Evaporation: (Cooling only) Occurs when a liquid changes to a vapour. This physical process requires heat, which means that evaporation from the skin takes heat from the surface of the body. When sweat or water (either on the skin or in clothing that is in contact with the skin) evaporates, the skin is cooled. Sweating occurs when either the skin and/or body core temperatures increase. In a cold environment, sweating should be minimized (e.g., layers of clothing should be removed before or during hard work). In a hot environment, evaporative heat loss is beneficial. However, any sweat that does not evaporate will not cause cooling. For example, when humidity is high, sweat does not evaporate as efficiently and may simply drip off the body.
Heat-Related Illnesses;Hyperthermia occurs when the body’s core temperature rises above the normal range. It results when at least one of the four mechanisms that cool the body is impaired by clothing, drugs, or disease, or is overwhelmed by internal heat production and/or external heat exposure. Heat-related illnesses will get worse without treatment and can change from one level to another very quickly.
Prevention from Hyperthermia;One of the most important actions a person can take to prevent heatrelated illnesses is to drink plenty of fluids. You should drink eight 250 mL (8 oz.) glasses of fluid a day for low-exertion, routine activities and more as exertion levels increase. It is important to rehydrate regularly during longer events. If you feel thirsty, you are already dehydrated, so develop the habit of drinking fluids regularly rather than waiting for the warning signs of dehydration to appear. The following tips will also help to prevent heat-related illness:  Maintain a healthy level of cardiovascular fitness.  Prior to a major event in the heat, let the body gradually acclimatize by being exposed to 1 to 2 hours of heat exertion for at least 8 days.  Avoid being outdoors during the hottest part of the day.  Reduce the intensity of activities as it gets hotter and don’t work or exercise for too long at a time.  Take frequent breaks in a cool or shaded area to cool off. This will help the body cope with short periods of extreme heat.  Dress for the heat and for the intended activity.  Make adjustments to exertion levels and work/rest cycles on hot days (e.g., schedule football practices for cooler parts of the day).  Wear a light hat when under the sun. Wear loose-fitting light clothing that allows liquid and vapour to escape.  Choose hydrating drinks, such as water or juice, over dehydrating ones like alcohol.
Heat Cramps;Heat cramps are painful muscle spasms, usually in the legs and abdomen, caused by loss of fluids and electrolytes as a result of sweating. While they are usually not serious, they are often the first sign that the body is beginning to overheat. What to Look For The following signs and symptoms can indicate heat cramps:  Mild muscle contractions that can become severe, usually in the legs and abdomen  Moist skin A person with heat cramps will typically have a normal or slightly elevated core temperature (37ºC or 98.6ºF).
Care for Heat Cramps;1. Reduce heat exposure (e.g., get into the shade) and, if possible, move the person to a cooler environment. 2. Have the person slowly sip a cool electrolyte-replacement beverage (e.g., commercial sports drink, coconut water, fruit juice, or milk). If a drink containing electrolytes is not available, have the person drink water. 3. Gently stretch and massage the cramped muscles.
Heat Stroke;Heat stroke is the least common but most severe heat-related illness. It is a life-threatening emergency that occurs when the body’s cooling system is completely overwhelmed and stops working. The body stops sweating because the levels of fluid are too low. When sweating stops, the body’s temperature rises quickly. When it gets too high, the brain and other vital organs cannot work properly. The person becomes unresponsive, has seizures, and can die without immediate first aid. What to Look For  High core temperature, above 40°C (104°F)  Hot, dry skin  Flushed (red) or pale skin  Headache  Altered mental status (e.g., confusion)  Irritable, bizarre, or aggressive behaviour  Progressive loss of responsiveness  Rapid, weak pulse that becomes irregular  Rapid, shallow breathing  Vision problems  Seizures or coma
Care for Heat Stroke;1. Move the person to a cooler environment. 2. Quickly lower the person’s core temperature with one of the following methods:  Immerse the person in cool water from the neck down. Do not remove the person’s clothing.  Immerse the person’s forearms and hands in cool water.  Pour cool water on the person’s clothing and/or on towels or cloths and place them on the person’s chest. Fan the person to increase evaporation.  Apply ice or cold packs to the person’s armpits and chest. 3. Continue to use the rapid cooling methods listed above until either the person’s condition improves or EMS personnel arrive. 4. If the person is responsive and able to swallow, have him or her slowly sip a cool electrolyte-replacement beverage (e.g., commercial sports drink, coconut water, fruit juice, or milk). If a drink with electrolytes is not available, give the person water.
Cold-Related Illness;Cold-related illnesses are any conditions that are caused by exposure to colder temperatures. They range in severity from superficial frostbite to life-threatening hypothermia.
Frostbite;"Frostbite is a local, superficial injury caused by freezing of the skin and, in more extreme cases, the underlying tissues. Extremities, such as the toes, feet, fingers, hands, ears, and nose are particularly prone to frostbite. There are two levels of frostbite: Superficial frostbite occurs when the skin freezes but the underlying tissues are unaffected. It may produce clear blisters after the tissue thaws, but little or no tissue loss typically occurs. Deep frostbite occurs when tissues beneath the skin (including tendons, muscles, and blood vessels) freeze. Inside the body, ice crystals and swelling begin to damage or destroy the body’s cells, blood vessels, and nerves. Deep frostbite may produce dark, hemorrhagic blisters when the tissue thaws, and is more likely to result in tissue loss. Before frostbite occurs, a person’s skin may appear shiny and rosy (a condition sometimes called ""frost nip""). This is a warning that frostbite is imminent. If you see these signs, advise the person to move to a warmer environment or protect his or her skin with layers of clothing."
Causes of Frostbite;Factors that increase the risk of frostbite include the following:  Moisture on the skin  Exposure to wind  Insufficient insulation  Clothing or equipment that reduces or constricts blood flow
Prevention from Frostbite;The following tips will help to prevent frostbite:  Never ignore numbness: If an extremity feels numb or tingly, you must take steps to warm it immediately (e.g., put your hands under your armpits or pull your arms inside your jacket for direct skin-toskin contact).  Cover up vulnerable areas such as the cheeks, nose, and ears by wearing clothing that is appropriate for the weather (e.g., scarf, toque, mittens).  Wear mittens instead of gloves when possible, as mittens provide better insulation.  Maximize foot insulation but avoid a tight fit around the toes.  Wear clothing in layers and adjust as necessary so that you feel warm but are not overheating and sweating.  Keep well hydrated.  Keep clothing dry and change out of wet clothing as soon as possible.
Superficial Frostbite;Signs and symptoms of superficial frostbite include:  Hardened skin  Skin that looks paler than the area around it  Pain or stinging in the area, followed by numbness
Deep Frostbite;Signs and symptoms of deep frostbite include:  Waxy skin that is colder than the area around it  Skin and underlying tissue that is hard and solid to the touch  Skin that is white, blue, black, or mottled  Complete loss of feeling
How to deal with Frostbite;Because both hypothermia and frostbite are caused by exposure to the cold, you may be providing care for someone with signs and symptoms of both conditions. Because hypothermia is more serious, however, you should care for it first before caring for the frostbite. 1. If possible, remove jewellery or other extraneous material that may restrict blood flow to the affected area. 2. Thaw the area only if you are sure it will not freeze again. 3. Warm the affected area using warm water, if available (approximately 38 to 40°C (100.4 to 104°F)) or body heat (e.g., by placing the person’s hands in his or her armpits or on the abdomen). You should be able to place your own hands in the water for a minute without feeling too warm. 4. If the frozen area has thawed, don’t break any blisters. Protect them with loose, dry dressings. Place gauze between the fingers or toes if they are affected. 5. If possible, elevate any thawed extremities above the level of the heart. 6. Because thawing frostbite can be extremely painful, the person may wish to take an over-the-counter painkiller. 7. Rehydrate the person by providing plenty of fluids. 8. Encourage the person to seek medical attention.
Hypothermia;Hypothermia occurs when the body’s core temperature (i.e., the temperature of the heart, lungs, and brain) drops to 35°C (95°F) or lower. Hypothermia becomes a life-threatening condition when the core temperature drops below 28°C (82.4°F). People with smaller body types, lower overall body weights, and lower body-fat content are much more likely to experience hypothermia. Hypothermia can occur at any time of year, with young children and the elderly being most at risk. Common Causes The following may lead to hypothermia:  Sweating while outdoors in cold weather  Cold, wet, windy conditions  Cold-water immersion, especially in water below 10°C (50°F)  Dehydration  Taking medications to eliminate water from the body
Prevention from Hypothermia;The following tips will help to prevent hypothermia:  Prepare for activities in cold environments by wearing appropriate clothing:  Wear a hat and clothing made of tightly woven fibres (e.g., wool, fleece), which provide insulation and allow moisture transmission from the skin to the external environment.  Avoid cotton because it soaks up water and stays wet.  Wear clothing in layers so that they can be added or removed according to the weather conditions and exercise intensity. Remove some clothing before working to reduce the amount of sweat and keep clothing dry.  Keep clothing dry. If clothing gets wet, change into dry clothing as soon as possible.  Carry and consume high-energy foods that have a lot of sugar.  Drink plenty of warm, high-calorie drinks to help fuel heat production. If high-calorie drinks are not available, drink plenty of water to at least keep from becoming dehydrated.  Do not drink alcohol.  Take frequent breaks from the cold to let the body warm up.  Increase your activity level, add insulation, add a heat source, or get out of the cold if shivering occurs.  Be careful around cold water and always wear a personal flotation device (PFD).
Levels of Cold Stress;"Cold Stress (Not Hypothermic)  Shivering  Normal mental status  Able to care for self Mild Hypothermia  Vigorous shivering; complaining of the cold  Decreased physical function  Difficulty taking care of self Moderate Hypothermia  Weak and intermittent shivering or shivering that later stops  Sometimes complaining of the cold  Lack of coordination or speech; confused or unusual behaviour  Impaired judgment  Possible unresponsiveness Severe Hypothermia  Shivering has stopped  Unresponsiveness; breathing has slowed down or stopped  Body feels stiff  No pulse"
Seasickness;Seasickness (motion sickness) is a sudden illness largely due to the motion of a ship or vessel. People who are not accustomed to the sea are most susceptible, but even experienced seafarers may be affected in rough water conditions. Signs and symptoms of seasickness vary, but include: Loss of appetite, nausea, vomiting, or abdominal cramps  Headaches, dizziness, or exhaustion  Cold sweat  Dry mouth
Care for Seasickness;In mild cases, the condition will gradually wear off (often during sleep) and no specific treatment is necessary  Providing small portions of dry food (such as crackers) can help settle the person’s stomach. Sucking on ice chips instead of drinking water will reduce the risk of vomiting while still preventing dehydration  More severe cases of prolonged vomiting may be managed with over-the-counter preventive medications.
Drowning;Drowning occurs when a person’s airway is submerged in water, cutting off the oxygen supply to body. Drowning is a leading cause of death for children and babies. An average of 400 Canadians drown each year. Young children aged 1 to 4 and men aged 15 to 44 are at the greatest risk.
Prevention from Drowning ;The following tips will reduce the risk of drowning:  Always wear a personal flotation device (PFD) when in a boat or other mode of marine transportation.  Supervise children in, on, and around any body of water.  Those who do not swim or are weak swimmers should wear a PFD when in, on, and around any body of water.  Check water depth before swimming or diving.  Have appropriate safety equipment available when in or on the water.  Take Canadian Red Cross Swimming and Water Safety lessons.
Responsive Drowning Person;These common warning signs can indicate that someone is drowning:  The person is vertical in the water, and is not using his or her legs to move forward or tread water.  The person may have an expression of fear.  The person’s arms may be flailing up and down as he or she tries to rise out of the water to breathe, rather than trying to swim forward.  The person’s movements are uncontrolled.
Freezing of Skin to Metal Objects;A person’s skin (especially the tongue and lips) can freeze to cold metal objects. This is especially a risk when skin is wet or moist. While this is a concern mainly in cold weather, skin can also freeze to metal objects in other situations (e.g., skin freezing to cold appliances such as freezers).
Care for freezing of skin to metal objects;1. Do not pull or tug the frozen body part. 2. Pour warm (not hot) water on the surface of the object or the skin that is stuck to the object. 3. As the skin begins to come free, gently help release the person from the metal object. 4. Treat any torn skin as an open wound.
Snow Blindness;Common Causes Snow blindness occurs when a person’s eyes are exposed to ultraviolet rays. It most commonly occurs when the sun’s light is reflected from snow, ice, sand, or water into a person’s eyes. Snow blindness can occur even on cloudy days. To help prevent snow blindness, wear sunglasses that block 100% of UV rays and prevent light from shining in from below, above, or the sides.
Care in case of snow blindness ;1. Place the person in a darker environment, if possible, or cover his or her eyes. 2. Apply a cool, damp cloth to reduce pain and burning. 3. If the person’s vision is affected, seek medical attention.
Prevention from Snow Blindness;To help prevent snow blindness, wear sunglasses that block 100% of UV rays and prevent light from shining in from below, above, or the sides.
Cold-Water Immersion;Cold-water immersion can occur in open water (e.g., when a boat capsizes) or after breaking through the ice. Although hypothermia occurs faster in cold water than cold air, the signs, symptoms, and care are essentially the same. Cold-water immersion has four distinct phases: 1. Cold-Shock Response: Rapid cooling of the skin causes a gasp followed by hyperventilation (lasting 1 to 2 minutes). 2. Cold Incapacitation: Further cooling of nerve and muscle fibres causes weakness and a loss of coordination, leading to incapacitation within approximately 15 minutes. 3. Hypothermia: A person dressed appropriately for the weather conditions will take 30 minutes or more to become mildly hypothermic. 4. Circum-Rescue Collapse: Can occur just prior to, during, or after rescue. The signs and symptoms range from collapsing, to fainting, to cardiac arrest. When rescuing a person from cold water, monitor the person’s condition carefully and be prepared to provide emergency care. Most deaths in cold water result from the Cold-Shock Response (when the head is under water) or drowning due to Cold Incapacitation. A properly worn personal flotation device (PFD) will keep a person afloat after he or she loses the ability to swim during the Cold Incapacitation phase.
How to help a person with cold water immersion;1. If you are in open water, do a self-rescue by getting into a boat, raft, or other mode of marine transportation, if available. 2. If you have fallen through the ice, place your arms on the surface of the ice, kick your legs until your body is horizontal to the water’s surface, and then kick and pull forward until you are on the ice. Roll away from the hole before standing up. If you are in open water and self-rescue is not possible, increase your survival time by doing the following: 1. Get out of the water as much as possible by using a capsized boat or other floating object as a flotation device. 2. If you are wearing a personal flotation device (PFD), adopt the Heat Escape Lessening Position (HELP):  Press your arms against your armpits.  Place your forearms across your chest.  Squeeze your thighs together and raise your knees toward your chest. 3. If several people are together, adopt the HUDDLE position:  Face each other.  Have each person squeeze his or her thighs together.  Form a circle and hug each other. Each person should place one arm above and one arm below the arms of those adjacent, and pull the sides of the chests together.  Sandwich any children or persons without a PFD inside the HUDDLE.
Poisons;A poison is a substance that has a harmful effect within the body if it is inhaled, swallowed (ingested), absorbed, or injected. Poisons are immediately life-threatening if they affect breathing or circulation. Practically anything can be a poison if it is not meant to be taken into the body. Even some substances that are meant to be taken into the body, such as medications, can be poisonous if they are taken by the wrong person, or if the person takes too much. Combining certain substances can also result in poisoning. Poisoning can happen anywhere, but most poisonings take place in the home. Children younger than 5 years, especially toddlers, are at the highest risk for poisoning. Children may be attracted to pretty liquids in bottles, sweet-smelling powders, berries on plants that look like they are edible, or medications or vitamins that look like candy. Additionally, very young children explore their world by touching and tasting things around them, so even substances that do not look or smell attractive are poisoning hazards among this age group. Older adults who have medical conditions that cause confusion (such as dementia) or who have impaired vision are also at a higher risk of unintentional poisoning. When providing first aid for a poisoned person, use caution to avoid contact with the poison.
Swallowed Poison;Enters the body through the mouth, lips, esophagus, or stomach. Drinking bleach is an example of swallowed poisoning. The following may indicate that a poisonous substance has been swallowed:  An open container of poison nearby  Burns around the mouth  Increased production of saliva or saliva that is an abnormal colour  Abdominal cramps, vomiting, or diarrhea  Seizures  Dizziness or drowsiness  Unresponsiveness  A burning sensation in the mouth, throat, or stomach
Absorbed Poison;Enters the body through the skin. Plants (such as poison ivy) and chemicals can cause absorbed poisoning. The following signs and symptoms can indicate that a poisonous substance has been absorbed:  Rash or hives (raised, itchy areas of skin)  Burning or itching skin  Swelling  Blisters  Burns  Unresponsiveness
Injected Poison;Enters the body through bites or stings or as drugs injected with a needle.
Inhaled Poison;Is breathed into the body. Breathing in carbon monoxide from a car’s exhaust is an example of inhaled poisoning.The following may indicate that a poisonous substance has been inhaled:  Breathing difficulties  Irritated eyes, nose, or throat  Dizziness  Vomiting  Seizures  Bluish colour around the mouth  Unresponsiveness  An unusual smell in the air
Carbon Monoxide Poisoning;"Carbon monoxide (CO) is a gas that has no smell, colour, or taste. CO poisoning is often called a ""silent killer"" because it is not detectable to any of the body’s senses. CO bonds to red blood cells 200 times better than oxygen, preventing oxygen from attaching and therefore starving the body of oxygen. It releases when fuel is burned in small engines, lanterns, fireplaces, stoves, grills, gas ranges, furnaces, cars, and trucks. When equipment that burns these fuels is properly ventilated, CO poisoning is not a problem. But if the equipment or ventilation system is faulty, or if outdoor equipment is used in an enclosed area, toxic levels of CO can build up quickly, creating the risk of CO poisoning. Concentrated CO is poisonous and life-threatening to those who inhale it."
Prevention from CO2 poisoning;The following tips help prevent carbon monoxide (CO) poisoning:  Ensure that a battery-operated or battery back-up CO detector is installed in the home or workplace where the alarm will be easily heard.  Check the CO detector’s batteries twice a year, ideally once in the fall and once in the spring.  Have all fuel-based appliances and equipment installed and repaired by a qualified technician.  Have all fuel-based appliances and equipment serviced annually by a qualified professional.  Use fuel-based appliances and materials as intended (e.g., do not use generators or portable flameless chemical heaters indoors, do not use a gas stove or oven for heating, do not burn charcoal indoors).  Ensure that chimneys are inspected and cleaned annually by a professional.  Never run a car or truck inside an attached garage. For detached garages, always leave the garage door open when running a car or truck inside.
Care for Absorbed Poisoning;1. If the person is not breathing, start CPR. 2. If the poison is a dry powder, brush it off the person’s skin. Be careful to avoid contaminating yourself. 3. Remove any clothing or items covered in the poison. 4. Flush the skin with running water for at least 15 minutes. To prevent any further injury, make sure the water flushes away from any unaffected areas of the body.
Care for Inhaled Poisoning;1. If the person is not breathing, start CPR. Use a barrier device so that you don’t contaminate yourself with the poison. 2. Get the person into fresh air but do not enter into a hazardous atmosphere in order to do so. Inhaled poisons can affect everyone in an area. Stay out of the area if you suspect that the poison may still be in the air.
Prevention from Swallowed poisoning;1. If the person is not breathing, start CPR. Use a barrier device so that you don’t contaminate yourself with the poison. 2. Check the packaging of the poison, if possible, so that you know what it is. 3. Induce vomiting only if told to do so by the EMS dispatcher or the Poison Control Centre. 4. If the person needs to go to the hospital, bring a sample of the poison (or its original container).
Injected Poisons;Needles found nearby are a common sign that an injected poisoning has occurred. The following are other signs and symptoms that indicate a poisonous substance has been injected:  One or more puncture wounds on the person’s skin  Problems breathing  Redness and swelling at the entry point on the person’s skin
Drug Overdose;Drugs (whether over-the-counter, prescription, or illegal) are a frequent cause of death by poisoning. Drug overdoses may be accidental or intentional. Signs and symptoms will vary depending on the drug.
Stimulants;Stimulants affect the brain and nerves to speed up physical and mental activity.  Many stimulants are swallowed as pills, but some can be absorbed or inhaled.
Hallucinogens;Hallucinogens cause changes in mood, sensation, thought, emotion, and self-awareness.  They can cause intense fear, panic, paranoid delusions, vivid hallucinations, deep depression, tension, and anxiety.
Depressants;Depressants send signals to the brain and nerves that slow down physical and mental activity.  They cause drowsiness and impair coordination and judgment.  Alcohol is the most widely used and abused depressant in Germany.
Designer Drugs;Designer drugs don’t fit into any of the categories mentioned above.  They are often chemically altered versions of medical drugs, such as narcotics and amphetamines.  Their effects can be unpredictable and dangerous.  Ecstasy, GHB, ketamine, and LSD are examples of designer drugs.
The signs and symptoms of drug poisoning;The signs and symptoms of drug poisoning will vary depending on the drug but often include the following:  Moist or flushed skin  Sweating  Chills or fever  Nausea or vomiting  Vomiting blood or passing blood  Changes in breathing or difficulty breathing  Racing or pounding heart  Continuous pain or pressure in the chest or abdomen  Seizures  Severe headache  Slurred speech  Changes in level of responsiveness  Changes in behaviour (e.g., aggression or fear)
Care for drug poisoning;1. Try to find out from others at the scene what substance or substances the person may have taken, and then communicate that information to EMS personnel or the Poison Control Centre 164 worker.
Opioid Overdose;Opioid drugs, such as heroin, oxycodone, and fentanyl, are a common cause of drug overdose in Canada. Many prescription drugs are or contain opiates. EMS personnel use naloxone (Narcan®) to reverse the effects of opioid drugs. In some provinces, First Aiders, first responders, and people in high-risk addiction situations can receive training in administering naloxone. Naloxone can be supplied as a nasal spray or an injectable solution.
Naloxone and Opioid Drug Overdoses;Naloxone is used to quickly reverse the effects of an opioid drug overdose, specifically counteracting central nervous system depression and respiratory depression. Administering naloxone requires special training. If you are trained and naloxone is available, you can give naloxone to someone suffering from an opioid drug overdose, as this is an effective and lifesaving treatment.
Signs and symptoms of an opioid overdose;Signs and symptoms of an opioid overdose include the following:  Slowed breathing (or no breathing)  Chest tightness  Extreme drowsiness or unresponsiveness  Small pupils
Care for Opioid overdose;1. If the person is unresponsive and not breathing, begin CPR. Do not delay CPR treatment to give the person naloxone. 2. If the person is unresponsive but is breathing, and if you have received training in its use, give the person naloxone by following the instructions on the label. Always follow specific policies and the training you have received in providing naloxone. 3. Stay with the person and provide continual care until EMS personnel arrive. Ensure that the person receives professional medical care, as naloxone alone is not enough to care for a person who has overdosed on opioids.
Alcohol Poisoning;Alcohol is a depressant that affects the central nervous system. It impairs judgment, slows down reflexes, and makes driving unsafe. Very high levels of alcohol in the bloodstream can affect the brain’s ability to control the body’s breathing, heart rate, and temperature, which can lead to death. Alcohol poisoning occurs when large quantities of alcohol are consumed in a short period of time, resulting in toxic levels of alcohol in the body.
Factors of Alcohol Poisoning;There are many factors that can contribute to an unsafe blood alcohol level:  Speed of drinking  Full or empty stomach  Type of alcohol  The person’s weight and sex
Symptoms of Alcohol Poisoning;The signs and symptoms of alcohol poisoning include the following:  Confusion  Vomiting  Seizures  Slow or irregular breathing  Low body temperature (hypothermia)  Unresponsiveness  Blue-tinged skin or skin that is paler than normal
Care for Alcohol Poisoning;1. Roll the person into the recovery position. 2. Carefully monitor the person until EMS personnel arrive, as his or her condition can deteriorate rapidly
Animal Bites;Any animal that has teeth, whether domesticated (e.g., pets or livestock) or wild, can be the source of a bite wound. If the person does not know the animal, rabies may be a concern. Most animal bites carry a high risk of infection, so they should be monitored closely in the hours and days after the incident.
Care for animal bites ;1. Try to get the person safely away from the animal without putting yourself in danger. 2. Do not try to capture the animal. 3. If the wound is bleeding heavily, provide care for external bleeding. 4. If the wound is minor:  Wash the wound thoroughly with clean water, ideally by running it under a tap, as the pressure from the running water lets it penetrate more deeply into the wound.  Control any bleeding.  Encourage the person to apply antibiotic ointment or cream to the wound, if they have no known allergies or sensitivities. 166  Cover the wound with a dressing or bandage. 5. Seek medical attention if the animal is wild, stray, or unknown to you, or if you suspect the animal might have rabies. 6. Watch for signs and symptoms of infection and ensure that the person continues to monitor the wound over the next several days.
Insect Stings;Most of the time, insect stings are merely uncomfortable. However, allergic reactions and anaphylaxis are always a concern. Some insects, such as bees, leave their stingers embedded in the person’s skin. Others, such as wasps, can sting multiple times, but leave no stinger behind.
Prevention from Insect Stings;To reduce the risk of insect stings:  Wear a long-sleeved shirt, long pants, and closed-toe shoes.  Don’t wear perfume, cologne, or other products with strong scents.  Remove or cover items that will attract insects, such as garbage or food.
Signs and symptoms of insect stings;The following can indicate an insect sting, especially if you see insects nearby:  Quick, sharp pain at the site of the sting  Pain, redness, or swelling at the site of the sting  A stinger embedded in the skin
Care for Insect Stings;1. If the stinger is still in the person’s skin, remove it by scraping it away from the skin. Use a plastic card (such as a debit card) to do this. 2. Wash the area with clean water. 3. Cover the site with an adhesive bandage. 4. Apply ice or a cold pack to help control swelling. Put a thin cloth between the cold source and the person’s skin to avoid freezing the skin. 5. Continue to watch for signs of infection, an allergic reaction, or anaphylaxis.
Tick Bites;Ticks are found in wooded, bushy areas, in tall grass, and in leaf litter on the ground. They can attach themselves to any warm-blooded animal that they come into direct contact with, including people. When ticks attach themselves to the skin, they can spread pathogens from their mouths into the person’s body. These pathogens can cause serious illnesses, such as Lyme disease. Promptly remove any ticks that you find before they become swollen with blood. Ticks are most active from April to September.
Prevention from Tick Bites;Tips to help prevent tick bites include the following:  Avoid wooded areas and areas with high grass and leaf litter.  Walk in the centre of hiking trails.  Limit the amount of exposed skin. Wear long-sleeved shirts and long pants. Tuck your shirt into your pants and your pant legs into your socks or boots.  Use insect repellents with 10 to 30% DEET on skin and clothing. A parent, guardian, or caregiver should apply repellents to children, carefully avoiding the eyes, mouth, and hands.  Check gear and pets for ticks when coming in from outside.  Immediately after being outdoors, do a head-to-toe check for ticks using a hand-held or full-length mirror. Check the scalp, under the arms, in and around the ears, inside the navel, around the waist, behind the knees, and between the legs. If you are outdoors for an extended period of time, check several times throughout the day. Caregivers and parents or guardians should check children for ticks.  Put outdoor clothing in a tumble dryer on high heat for 1 hour to kill any ticks that might be attached.  When walking with children in a tick-infested area, prevent ticks from entering their clothing by using a rubber band or tape to seal the area where children’s pants and socks meet.
Using Insect Repellents to Prevent Tick Bites;Consider using an insect repellent if you will be in a grassy or wooded area for a long period of time, or if you know that the tick population in the area is high. Use repellents sparingly, as one application will last 4 to 8 hours and heavier or more frequent applications do not increase effectiveness.
